id,date,user,location,text
1376530789177905153,2021-03-29 13:44:49,IngrahamAngle,DC,Now do Florida.  Then ask yourselves who handled COVID better https://t.co/bpWtf2EO2N
1376542205754621952,2021-03-29 14:30:11,nytimes,New York City,"The coronavirus prompted a tectonic shift in how and where many people work.

Manhattan, an island whose economy ha… https://t.co/shCvdzHXjB"
1376164425405710338,2021-03-28 13:29:01,ASCD,"Alexandria, VA (D.C. area)","Feedback’s main purpose is to improve the student, not the work, say @dylanwiliam &amp; @kscalise87.… https://t.co/yez3wbVPwF"
1376713727190392838,2021-03-30 01:51:45,Sally_bak_,"Ohio, USA",@thoughtwax Remote work provides new access to talent where previously they were not considering hiring. But commun… https://t.co/pwcU9psUya
1376713711851831301,2021-03-30 01:51:41,Sally_bak_,"Ohio, USA",@willmendesneto @NearForm Remote work provides new access to talent where previously they were not considering hiri… https://t.co/XD5tl9lXfn
1376713698119667712,2021-03-30 01:51:38,Sally_bak_,"Ohio, USA",@ClementDelangue Remote work provides new access to talent where previously they were not considering hiring. But c… https://t.co/pG4ww760I2
1376713664791732224,2021-03-30 01:51:30,Sally_bak_,"Ohio, USA",@GRAXdv Remote work provides new access to talent where previously they were not considering hiring. But communicat… https://t.co/NzDoMQOgCn
1376713648496898048,2021-03-30 01:51:26,Sally_bak_,"Ohio, USA",@andrewmartonik Remote work provides new access to talent where previously they were not considering hiring. But co… https://t.co/fRB5u8e3sq
1376713578674319364,2021-03-30 01:51:09,EconOfNYC,"New York, NY","Perhaps this will be a step in proving wrong those with the most negative views of Manhattan's future. 

https://t.co/3C3WCfTGaA"
1376713519580729346,2021-03-30 01:50:55,jonathanedean,"Pittsburgh, PA, US","Hint: it’s the same time it always was. 

“A Year Into Remote Work, No One Knows When to Stop Working Anymore - The… https://t.co/gN8CfSqRx7"
1376163940942614532,2021-03-28 13:27:06,SebSStone,"New York, USA","The lines have blurred between work and home. Employers may worry about what their people do all day, but most stud… https://t.co/LfEMD84QJl"
1376163504529494017,2021-03-28 13:25:22,ashspiess,"Virginia, USA","For us at Notarize, announcing our incredible Series D is an accomplishment and a result of tenacious, hard work.… https://t.co/bXNHoEnqIh"
1376163418244255747,2021-03-28 13:25:01,adsinuk,"City of London, London","Not the point of the article but ""A 2020 Gartner survey found that 74% of CFOs will permanently shift some staff to… https://t.co/rHShslaynB"
1376163210856914944,2021-03-28 13:24:12,virtual_loop,,"Available for remote freelance 3d work.  DM me for a chat! 
https://t.co/IFA0IRlhTu"
1376162923647799298,2021-03-28 13:23:03,FastCompany,"New York, NY",Why remote work may render the 5-day workweek obsolete https://t.co/FmXnv5Mjll
1376162916647460866,2021-03-28 13:23:01,Dicedotcom,"Centennial, CO","When searching for tech contractors who can work remotely, it’s key to run a fast, efficient, and focused hiring pr… https://t.co/LkWedZMtyR"
1376162644290248706,2021-03-28 13:21:56,drbret,"Reno, Nevada",The pandemic pivot to telemedicine taught doctors valuable lessons from how to rethink the virtual waiting room to… https://t.co/1QOnQF11LH
1376162454049284103,2021-03-28 13:21:11,vernjr_88,#MSGulfCoast,"Tv works but the remote died.
Good thing it’s the warehouse.
Bad thing is learning how program the DVD player to wo… https://t.co/dP9cC2RDfC"
1376162423774777348,2021-03-28 13:21:04,andrewdicosmo,"Washington, DC","Remote Government Work: A Challenge and an Opportunity
https://t.co/qT4Ta1nbtz"
1376162374613225480,2021-03-28 13:20:52,JennyPAndrews,"California, USA","Today was to be the last day of my week off. Thanks to trials being advanced to tomorrow, it has been a pretty stre… https://t.co/X13xRn18ox"
1376161958316085250,2021-03-28 13:19:13,codecidedotnet,"Chicago, IL","Remote work could trigger return to piecework pay - https://t.co/6phxqmSncH
#been #labour #supports #employers… https://t.co/Icoa8Oyiir"
1376161771233423366,2021-03-28 13:18:28,DrSelvarajah,"London, United Kingdom ","Positive pandemic working in #TeamGP

I can work in scrubs at work and when remote working in this... https://t.co/31n46j4D4L"
1376161530870329348,2021-03-28 13:17:31,NancyRapoport,"Las Vegas, NV",The nonstop working-from-home workday has left many employees exhausted and managers wondering how to get everyone… https://t.co/zx94eKHJZZ
1376161272711020548,2021-03-28 13:16:29,Slim_EmCee,Live18,@Ask_Spectrum Not being able to relax and play video games on the weekend is one thing. But I work from home for a… https://t.co/oKiBT0RFlq
1376161142352011264,2021-03-28 13:15:58,bauserphd,150 LIncoln Street Needham MA,"@RoamtheDomes With remote work becoming more common, paid family leave would be an excellent benefit along with health caregiver benefit"
1376160949627973634,2021-03-28 13:15:12,codecidedotnet,"Chicago, IL","8 Ways to Ensure Secure Remote Work Across Your Company
#secure #software #sensitive #password #employees… https://t.co/trG1E3E6uV"
1376160288911847433,2021-03-28 13:12:35,wolfejeff,"Atlanta, GA",The nonstop working-from-home workday has left many employees exhausted and managers wondering how to get everyone… https://t.co/J4VlY7Y4nJ
1376159896366895105,2021-03-28 13:11:01,ford739564,"Budapest, Hungary ","The most interesting aspect of our work-from-anywhere future, though, isn’t what it will do to the physical “office… https://t.co/uV7C6TWXoQ"
1376159875957424128,2021-03-28 13:10:56,DrMilks,"Bloomington, Indiana",@ValeriaBrownEdu YES!! @JessicaCalarco has been a pandemic hero for so many reasons. Grateful for @annanorthtweets’… https://t.co/9g10MOGWww
1376159660554645508,2021-03-28 13:10:05,SF2CLT,Charlotte nc,Work from home or always working? Remote workdays during COVID-19 are longer thanks to technology https://t.co/0ygRa2Tbhy
1376159452949282825,2021-03-28 13:09:16,woopvonwoop,"Austin, TX","uh, I got an email from the system work uses for employee management... do I have to go to the office to get my stu… https://t.co/OxZyXzAcDB"
1376159262129455109,2021-03-28 13:08:30,WaterburyCTJobs,"Waterbury, Connecticut",JOB; Watertown CT USA - Sales Engineer - Remote - We are seeking Sales Engineers in the Northeastern part: We are s… https://t.co/AAraiQRdMg
1376159261395451910,2021-03-28 13:08:30,_lightningfield,Philadelphia,Remote work study: turn off the camera! 🎉 https://t.co/y43kVvPEgK
1376159237961871363,2021-03-28 13:08:24,CareerFocusNet1,,"COVID-19 impact: Work from home more appealing than return to 'business as usual,' Harvard survey shows… https://t.co/yjLsMwxOiy"
1376159138825244673,2021-03-28 13:08:01,CyberSecDive,"Washington, DC",Threat actors are increasingly using spear phishing and impersonation to target end users. https://t.co/5h8BAXlfPO
1376158636620144645,2021-03-28 13:06:01,Christian_Put,"Boston, Massachusetts","Evaluating space composition, identifying technology enablers, and retooling #realestate metrics to chart a path fo… https://t.co/wXWmPReEHR"
1376158391383552002,2021-03-28 13:05:02,AnchinCPA,New York City,A Harvard University report examined how much households with remote workers spent compared with their peers who co… https://t.co/LH4V5KzvUB
1376158369732497409,2021-03-28 13:04:57,CompSciEmma,United Kingdom,"@bevgibbs @GC_Wood No, I'd never heard of them before. This time last year, a few students switched to remote work,… https://t.co/Yi87NcqlZs"
1376158126743912451,2021-03-28 13:03:59,ChiefRemote,North Carolina,"@Prathkum I have found some of the larger job boards don't understand remote work and some sites seems scammy. 

He… https://t.co/QFn88gLMNh"
1376158088839979008,2021-03-28 13:03:50,GovTechResearch,"London, England",Follow through this thread - some good thinking on remote work https://t.co/TP8rL7i05B
1376157558902116365,2021-03-28 13:01:44,tmj_cle_recruit,"Cleveland, OH","If you're looking for work in Cleveland, OH, check out this job: https://t.co/13LZMxp3iQ #KellyJobs #KellyServices"
1376157346980884482,2021-03-28 13:00:53,pete___lee,"Birmingham, England",@lehain Whitsun then remote programme including face-to-face meetings. Remote programme including virtual work expe… https://t.co/HG1Ad8sfce
1376157316886708234,2021-03-28 13:00:46,Kjvincent1979,"Costessey, England","@at_m4tt @BorisJohnson Some people will take the piss. Many others, such as myself, will work hard to support other… https://t.co/TYrlWMIObF"
1376157310238650376,2021-03-28 13:00:45,sylvanretreat,"Dehradun, IN",Need some time away from everything? Come to our retreat for a peaceful bliss and deep immersion in nature. Whether… https://t.co/p8RxPO1fz3
1376157258728476672,2021-03-28 13:00:32,BGSHonorSociety,St. Louis,"""Studies from around the world consistently show that companies see productivity gains after allowing employees to… https://t.co/lTxBAJlHi2"
