id,date,user,location,text
1376248222092455940,2021-03-28 19:02:00,9GAG,Universe,"How rock climbers work from home

📹 brookeclimbs | IG https://t.co/DXNTOYJZb0"
1376144751758430214,2021-03-28 12:10:51,UPLBOfficial,"Los Baños, Laguna",UPLB offices and units (except those performing vital or essential functions) shall operate on a work-from-home (WF… https://t.co/tfacby1bc8
1376450960676036612,2021-03-29 08:27:36,PHE_uk,United Kingdom,"From today, 29 March, the Stay at Home rule will be lifted. Where possible, you should continue to work from home a… https://t.co/ES0ALnUsSm"
1376714620828811266,2021-03-30 01:55:18,alveezya,Depression,@underworldsiren The thing is we both work from home and different depts so initiating a convo out of thin air is difficult 😭
1376714516046753793,2021-03-30 01:54:53,aye_dree_nn,Chicago,My neighbor pulls up bumpin Hail Mary everyday around the same time. I assuming he’s coming home from work and I ju… https://t.co/akgOm10d7U
1376714493179363334,2021-03-30 01:54:47,zacharybruce_,"Dublin, GA",@GregBailey13 Who is interested in a work from home business where you can earn as much as $10k and still go about… https://t.co/ZX0X1e6N3Z
1376714461646585861,2021-03-30 01:54:40,NotBunkerBoy,,@atrupar It’s like driving our own car traveling from home to work.
1376714415995781121,2021-03-30 01:54:29,afcdanielsan,,@DrewChapman1 brooo i take so many naps its unreal. when i come home from work I crash right away and sleep for way too long.
1376714282923032580,2021-03-30 01:53:57,jiggykittykitty,,james got home from work and immediately got to demolishing dis pussy 🥰😊😊
1376714251260342273,2021-03-30 01:53:50,jaedesi3,,I really want to work from home so bad.☹️
1376714149531631617,2021-03-30 01:53:26,LinksforceAus,Australia,"Of course, one the perks when choosing to work from home is creating your own schedule, so adjust time as necessary… https://t.co/sPlMPFj00T"
1376714135912730625,2021-03-30 01:53:22,BeeSaysPolitics,"Texas, USA","That's what I'm talking about daily gun.
But these life skills can do more for US as a nation
Develop Entrepreneur… https://t.co/Pf4UYpXsfx"
1376714130778943492,2021-03-30 01:53:21,FrankPeteani,"Farmingdale, NY","@Rich_Fann Listened on the way home from work today.  A home run as always,  Can’t wait to talk about to you about… https://t.co/s6sTSp8ldm"
1376714119768903681,2021-03-30 01:53:18,RichardBethell,,@Flags2J @sikander @celliottability @OttawaHealth There are all kinds of people in Ottawa who cannot work at home.… https://t.co/e72xunSZb1
1376714084561911812,2021-03-30 01:53:10,wifitraining,"Austin, TX",Did you know our #WorkingfromHome digital course is **FREE** for EVERYONE through April 15th? Tell your friends/col… https://t.co/0CAAcwfNaf
1376144748306644995,2021-03-28 12:10:50,lisa_broklyn2,"San Antonio, TX","@Reuters New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start… https://t.co/wZRSH4Eh82"
1376144685517959173,2021-03-28 12:10:35,EthanGraphic,"Harare, Zimbabwe","Lap desks available in stock. All colours as in pictures attached. You can use it for working in bed, on your couch… https://t.co/bBQf8T6dog"
1376144675850031106,2021-03-28 12:10:32,PMc276,Dublin,"@lindaosull88 @forsa_union_ie @apike1 @DonnellyStephen @SNAAGIre Chemist staff are essential workers, they have wor… https://t.co/FajpDDppvD"
1376144600331608069,2021-03-28 12:10:14,TweetsinEpping,"Wales, United Kingdom",@lell_sutherland @Marytait6 @AngusMcPussPuss @AngelaStillwell @irishbogcat @archie_pen @OssieAndLuna @TulipandSweep… https://t.co/OvVYAI2lIh
1376144592282652676,2021-03-28 12:10:12,news18dotcom,India,"On day one of night curfews in Maharashtra, CM Uddhav Thackeray has told the administration to plan for a ‘lockdown… https://t.co/hD5GpDw8OU"
1376144554026471429,2021-03-28 12:10:03,Cryptobubble21,,@hamzashafqaat Complete disregard frm most companies abt implementing govt order of 50% staff work from home due to… https://t.co/tPpgk3jpEX
1376144491619422208,2021-03-28 12:09:48,fletcherzr01,Hornchurch,@ADMBriggs @trishgreenhalgh Depends - is it office based or can I work from home?
1376144483000147973,2021-03-28 12:09:46,Alexx_Hemming,,It’s an utter fallacy to suggest that working from home equates to doing less work. Having worked from home exclusi… https://t.co/4F3bZly2hK
1376144469960097794,2021-03-28 12:09:43,Jack89825395,,@Jemmapalmer @garethicke Is this a cheap shot at people working from home? Why? How it is any of your business? Any… https://t.co/gfS72Nulaj
1376144432546779136,2021-03-28 12:09:34,AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",Five Ways To Make Work From Home Employees Love Their Company And Their Jobs https://t.co/WBFjyTfqWS https://t.co/qLDgfhdMQ3
1376144365182193670,2021-03-28 12:09:18,levimiah,UK,I've seen this go back to work propaganda ramp up for a few days on the news. The other day ITV had a piece where t… https://t.co/PCgMriuP2P
1376144285691740161,2021-03-28 12:08:59,hotincleveland,Ohio,"(I emphasize ""in the school building"" because it means that teachers required to remote-teach from school buildings… https://t.co/bfckrug6Kb"
1376144234655453190,2021-03-28 12:08:47,mlammCAS,"Philadelphia, PA ",Tech's hottest job title in 2021? 'Head of remote work' https://t.co/moSNnx7lkQ via @sfchronicle
1376144190401351683,2021-03-28 12:08:37,maybedoggie,"London, England",@melaniebg720 I was very disappointed yesterday but now I don’t mind to think he can go home and play games as much… https://t.co/Cer2vgyPVa
1376144188065124352,2021-03-28 12:08:36,Outoftweet123,,@DPJHodges Starmer spent his entire political career voting against High Speed 2......its cost rises from £32bn to… https://t.co/iEs9ICtv5Q
1376144053788622848,2021-03-28 12:08:04,JudithDahmen,,"Yippeee, it's finally #Sommerzeit again! It gives me such an energy boost every year. I can sleep one more hour bef… https://t.co/96pguMO0ZY"
1376143909747896321,2021-03-28 12:07:30,wilsusy,Kisumu,@Wetangulam Employers in hospitality industry should allow their  Employees to work from home...
1376143855100256258,2021-03-28 12:07:17,JosephRBiden5,"San Francisco, CA",@BreitbartNews In other words just work from home
1376143852768264193,2021-03-28 12:07:16,GlennSpencer4,"Gravesend, South East",@Flerpster @gary_killington I've tried to do a long power walk before work but also try to walk at the end of the d… https://t.co/TvFuBUvNbm
1376143823747698690,2021-03-28 12:07:09,chanmashu,,So when can we expect school/work anime featuring work/study from home themes
1376143808061132802,2021-03-28 12:07:06,lisa_broklyn2,"San Antonio, TX","@FrankStocker @welt New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone… https://t.co/CfyYAIgoSd"
1376143797411794947,2021-03-28 12:07:03,mmmmmmiles,"Texas, USA",@Tyler_1203 @ParveenWalker @beadcactus @BernieSanders So it’s PTO they call by another name to allow them to steal… https://t.co/jZY9Cd9DeE
1376143790059237377,2021-03-28 12:07:01,lisa_broklyn2,"San Antonio, TX","@welt New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start ear… https://t.co/vQWmsJqhhL"
1376143775991529477,2021-03-28 12:06:58,iamn0ty0urstar,In your dreams,Went home sick from work... yay
1376143768697593858,2021-03-28 12:06:56,lisa_broklyn2,"San Antonio, TX","@claudia_kade @welt New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone… https://t.co/wPnv6pa5rU"
1376143749005336576,2021-03-28 12:06:51,lisa_broklyn2,"San Antonio, TX","@welt New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start ear… https://t.co/r93KdNb8gK"
1376143727434031104,2021-03-28 12:06:46,tiopov,And the Grammy for Best Pop Solo Performance goes to Watermelon Sugar by Harry Styles.,got home from work 😋
1376143674233475075,2021-03-28 12:06:34,lisa_broklyn2,"San Antonio, TX","@ReutersUK New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and star… https://t.co/cn8N0fzy1f"
1376143663076622339,2021-03-28 12:06:31,FrankSa05093220,,@SkyNews New month!  bonus !!!  Only 30 serious person's needed SY Work from home with your smartphone and start ea… https://t.co/Ot1VuLKwW2
1376143637499760642,2021-03-28 12:06:25,lisa_broklyn2,"San Antonio, TX","@ReutersUK New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and star… https://t.co/fk1Vu1RnlM"
1376143578087444481,2021-03-28 12:06:11,lisa_broklyn2,"San Antonio, TX","@Reuters New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start… https://t.co/Vp2VlQPwpq"
1376143540745560064,2021-03-28 12:06:02,alyosha19,Singapore,Commentary: The exodus of high-skilled jobs from superstar cities https://t.co/TfuLyMkTbr https://t.co/CCeSgpmgls
1376143536542867457,2021-03-28 12:06:01,ShonaMcL,Dublin,@loreillysf Admin staff who could still work from home have been vaccinated in many hospitals. I look forward to se… https://t.co/F4eHenjSoP
1376143394351812612,2021-03-28 12:05:27,thedextazlab,Tanzania,Five Ways To Make Work From Home Employees Love Their Company And Their Jobs https://t.co/Xu6wbHqvcK
1376143379646582786,2021-03-28 12:05:23,ktxvv,"Washington, DC",I have so much to do today but this rain makes me want to work from home 🥲
1376143346348007426,2021-03-28 12:05:15,lisa_broklyn2,"San Antonio, TX","@SCMPNews New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start… https://t.co/PTsuw2QA2v"
1376143324571123712,2021-03-28 12:05:10,lisa_broklyn2,"San Antonio, TX","@SCMPNews New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start… https://t.co/2SbniyMDlg"
1376143299279470594,2021-03-28 12:05:04,lisa_broklyn2,"San Antonio, TX","@SCMPNews New month !!!
bonus !!! Only 30 serious person's needed
💱  Work from home  with your smartphone and start… https://t.co/Knm4xJFEAY"
1376143289959772161,2021-03-28 12:05:02,RemotejobsIndia,Anywhere,"Online Coding Tutor (Work from Home) at Cue Learn Private Limited!

Cuemath is looking to onboard Coding tutors, wh… https://t.co/wpqJxXYmm1"
1376143250461876225,2021-03-28 12:04:53,BrightGroupCo,Melbourne Victoria ,Unsure about managing workplace transformation to ensure productivity? Staff still want to work from home? You need… https://t.co/VwxHUhQc8J
