id,date,user,location,text
1375898681019355148,2021-03-27 19:53:03,krakenfx,"San Francisco, CA",🌇🙋‍♂️ Are you ready to say goodbye to the office for good? Join us at Kraken where we embrace a remote-first work l… https://t.co/JegrO7M5sZ
1375810077467279366,2021-03-27 14:00:58,EvrythingClever,,"As nice as it can be to work in your sweatpants, the work-from-home lifestyle comes with its own set of challenges.… https://t.co/g7CdG3GZEm"
1375417773204066310,2021-03-26 12:02:05,VirtualVocation,,"10 tips to help you and your partner develop a healthy, functional, and loving remote work environment at home. 💻⤵️… https://t.co/6AZtf5W6hv"
1375398469498769409,2021-03-26 10:45:23,TheMagnoliaQDL,"Quinta do Lago, Portugal",Do you work from home? Upgrade your remote working lifestyle with a long-term stay at The Magnolia Hotel. Imagine s… https://t.co/aWNUrMHa7b
1375175652140269570,2021-03-25 19:59:59,CarlJCroft,"Stafford, Staffordshire, UK",Working from home: Hybrid remote working may be the future. What do you prefer? Home or the office?… https://t.co/l00cAsjKVi
1375087783790964740,2021-03-25 14:10:50,PSTG_ltd,"London, England","Despite the initial struggle of IT teams getting employees online and secure, a work from home hybrid may be the fu… https://t.co/a3J9YbPYSR"
1375054729378734084,2021-03-25 11:59:29,WeAreWurkr,"London, England","According to https://t.co/NlmfSLrH6B , Brits could continue remote working as Government look to bring in a 'legal… https://t.co/6OVMb8fTS7"
1374985092225982465,2021-03-25 07:22:46,PaulLawBlacks,Leeds,Brits could continue remote working as Government look to bring in a 'legal right to work from home' https://t.co/SwbGMPNxw6
1374820920943116293,2021-03-24 20:30:25,AboutHerOFCL,,Revamping your work from home space can make remote working a bit more enjoyable: https://t.co/MtFLWCbP1s
1374817040071032839,2021-03-24 20:14:59,CroftArchitects,"Staffordshire, UK",Working from home: Hybrid remote working may be the future. What do you prefer? Home or the office?… https://t.co/Gw7OPHtHJV
1374756152022605835,2021-03-24 16:13:03,HecklerMarybeth,"Englewood, CO",More Americans are planning to move this year due to the flexible work from home lifestyle that the Covid-19 pandem… https://t.co/JTMudiSK7y
1374526562918395904,2021-03-24 01:00:44,VirtualVocation,,"If you're a mom planning on returning to the workforce, use these strategies to optimize your chance of finding the… https://t.co/yyfXviluRw"
1374119881109614593,2021-03-22 22:04:44,ecHeonwugbenu,Abuja,Will think less about going back to the office - because I've lived and worked from a home based office for 22 year… https://t.co/2QxtraiP3N
1374009071536381952,2021-03-22 14:44:25,Mitch3GP,,"@WomenInAviation why will women want a nomad pilot lifestyle, commuting or living in $$$ hubs (SFO/NYC), working we… https://t.co/U1PD9UOyK7"
