id,date,user,location,text
1376555379602169867,2021-03-29 15:22:32,MSCloud,"Redmond, WA","Watch #Envision Episode 2 highlights and join us for Episode 3, where @trevornoah and @BradSmi will discuss how to… https://t.co/fFXTz50ApT"
1376264464186667011,2021-03-28 20:06:32,naomirwolf,New York,This is the end of the line. People don’t understand: the platform can load up any other data. It can turn off your… https://t.co/D4pqK243ii
1376987676210003976,2021-03-30 20:00:19,Microsoft365,"Redmond, WA",Discover the power of premium features with a Microsoft 365 subscription: https://t.co/Y5I6JXzGcA #Microsoft365 https://t.co/adpcBF58h2
1377078430722834433,2021-03-31 02:00:57,cubesysau,"Sydney, Australia","IT has been busy this year, supporting the movement of work-from-home across multiple industries. Access this blog… https://t.co/DL9VliD8pm"
1377073992511684609,2021-03-31 01:43:19,PearlManaged,Spokane,"IT has been busy this year, supporting the movement of work-from-home across multiple industries. Access this blog… https://t.co/OLclTNdFON"
1377065919252475906,2021-03-31 01:11:14,CloudscoutO,Europe,"in #O365MessageCenter Item MC245302 the property MC End Time has changed. 
#MicrosoftTeams
see: https://t.co/cO5jfNrokr"
1377065907453751296,2021-03-31 01:11:11,Cameron13H,"Sydney, New South Wales",@sincespacies Compared to what Sony are doing with Play At Home and shit Microsoft aren't even trying
1377063150919487492,2021-03-31 01:00:14,CloudscoutO,Europe,"in #O365MessageCenter Item MC242577 the property MC End Time has changed. 
#Yammer
see: https://t.co/Kq03E0qq57"
1377062726610997249,2021-03-31 00:58:33,jamaalaldin_tv,"Boise, ID",Spicy' NBA Fortnite🎮 https://t.co/2A5yIjKnpG 227's YouTube Chili' Fortnite Spicy' https://t.co/26hZVITaqF… https://t.co/8yfVYkQ9P1
1377059378524790787,2021-03-31 00:45:15,CloudscoutO,Europe,"in #O365MessageCenter Item MC245302 the property MC Messages has changed. 
#MicrosoftTeams
see: https://t.co/cO5jfNrokr"
1377051852588511232,2021-03-31 00:15:20,finchloom,USA,"IT has been busy this year, supporting the movement of work-from-home across multiple industries. Access this blog… https://t.co/2fJi6r6CNF"
1377048188738224130,2021-03-31 00:00:47,iLearn2Primary,"Worcestershire, UK","Year 3 Document Editing Activity Pack for home/school: Guides pupils through challenges using Apple Pages, Microsof… https://t.co/alOGBsm4V0"
1377048004193091587,2021-03-31 00:00:03,princeoftoyland,"Magnolia, TX","Join business leaders from across the globe as they share perspectives, and discuss what’s ahead in this era of dig… https://t.co/6sxYCadNMy"
1377045752069844994,2021-03-30 23:51:06,jamaalaldin_tv,"Boise, ID",Spicy' NBA Fortnite🎮 https://t.co/2A5yIjKnpG 1000€ si je BATS THÉO sur 227's YouTube Chili' Fortnite Spicy'… https://t.co/41TbSQj3rd
1377042314384736257,2021-03-30 23:37:26,e365distri,Australia,New e365 online Collaboration solutions for Home office and Huddle room with Videoconferencing via Zoom and Microso… https://t.co/gWpcwrxnrg
1376261393968685061,2021-03-28 19:54:20,DavidAHThompso1,I follow back Conservatives.,"The quack Fauci just needs to shut up! 

 The same goes for the Microsoft dude. Bill,  stick with 0's and 1's and l… https://t.co/ThH64zbbqa"
1376245742038216705,2021-03-28 18:52:08,Anne_Michels,"Seattle, WA","Music is a powerful marketing element but for many marketers, it is an afterthought.

I had the pleasure to sit dow… https://t.co/yfkCtAt1Cl"
1376243882720174086,2021-03-28 18:44:45,Superjustinbros,"Long Island, NY","@ShellshockPrime Microsoft bought Bethesda because
&gt;Game Pass
&gt;Unlike Rare, Bethesda is a very American company wit… https://t.co/SvBw8pv3NI"
1376240232920666124,2021-03-28 18:30:15,sunywcc1,"Valhalla, NY","Update your skills and learn something new from home! Non-credit computer training starts soon:
Intro to Python Pro… https://t.co/DuH8MlLFgM"
1376240210397306880,2021-03-28 18:30:10,techitservices,"San Diego, California","Computer, Server, Cloud &amp; Network IT Support for Home &amp; Business in #SanDiego #, #California # #microsoft… https://t.co/KymD3m2Z9B"
1376226672089911298,2021-03-28 17:36:22,R6newsandviews,"Swindon, England","R6 Reminder: Make sure your home Covid test is complete and logged by 7pm, both on the NHS link and the school Micr… https://t.co/EZtkHyi7M9"
1376223307737878532,2021-03-28 17:23:00,nathanworks,127.0.0.1,Microsoft Report Urges Greater Flexibility To Support Burned-Out Remote Workers -- https://t.co/Fh6zf7ojRk https://t.co/2sQqsE31sV
1376221679735611392,2021-03-28 17:16:32,m2teach,"Sacramento, CA.","Microsoft’s Ignite digital conference via holoportation,uses 3D capture technology 2 beam a lifelike image of a per… https://t.co/lJGr9Kk6Na"
1376218454550704130,2021-03-28 17:03:43,andrewintech,"Spokane, WA",@RasuShrestha @Facebook @Uber @Microsoft @verge @meganranney @CatchTheBaby @TomVargheseJr @iamritu @nickisnpdx… https://t.co/p79Gmq3zCy
1376218087784116237,2021-03-28 17:02:15,mrthomson,North London,@Mjogalvin1 I don’t use any paper...everything (fairly well) organised in OneDrive/Teams so I can view whether on a… https://t.co/PcKiTYVIfu
1376217924097150979,2021-03-28 17:01:36,goodwillftworth,"Fort Worth, TX","Goodwill’s Digital Career Accelerator program offers computer basics, email and Microsoft Office courses all from t… https://t.co/yjYN7Zfwj9"
1376217533003362306,2021-03-28 17:00:03,oamirou69,New Zealand,"Our research indicates that employees want control of where, when, and how they work, and expect businesses to prov… https://t.co/081INfJApA"
1376217530973499393,2021-03-28 17:00:02,noclutter,everywhere,"Our research indicates that employees want control of where, when, and how they work, and expect businesses to prov… https://t.co/C4QOzW6sCG"
1376217530763767818,2021-03-28 17:00:02,bill_dallman,,"Our research indicates that employees want control of where, when, and how they work, and expect businesses to prov… https://t.co/Y81o3PTX6q"
1376214984091262977,2021-03-28 16:49:55,PeekQElectroni1,,"Just saw this on #Amazon: 

#ASUS #Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor,… https://t.co/s2KQUolw6O"
1376200065430224897,2021-03-28 15:50:38,realCOVID19_,Hometown: Bone Marrow/Thymus,"globally. Is he part of “big pharma?” No. 

Ask yourself this: Am I going after “big pharma” while using a Microsof… https://t.co/gzztuXVHxf"
