id,date,user,location,text
1375251726136078337,2021-03-26 01:02:17,JoshConstine,"Mission SF, CA","Surprise! Slack CEO @stewart is our special guest.

Several people are talking...about reopening offices or staying… https://t.co/flOUkvYKwT"
1377038478215684097,2021-03-30 23:22:12,HugginsRachel,"Washington, DC",Slack survey finds 97% of Black knowledge workers want the future of the office to be remote or hybrid - via ⁦… https://t.co/2l0Kg3axkq
1377036317058498562,2021-03-30 23:13:36,Equity_Allies,United States,Slack survey finds 97% of Black knowledge workers want the future of the office to be remote or hybrid - TechRepubl… https://t.co/RiD9hyhUcH
1377030027229941761,2021-03-30 22:48:37,yeahgirlscode,"London, UK",@painwithdavid @NeelBhula @TheHustle I'm a heavy discord user and I'm only surprised the valuation isn't higher. It… https://t.co/kdQwn2KJSO
1377029351108149250,2021-03-30 22:45:55,JellybobUK,"Southampton, UK",@avdi Burying the lede there. Slack are building people randomly dropping by your desk to interrupt with a half-con… https://t.co/ke2iFsGBfO
1377027467135881219,2021-03-30 22:38:26,ODulainne,,"Have to agree 👍
https://t.co/r5lwXqb8i5"
1377025594399940609,2021-03-30 22:31:00,FrankYanWang,San Francisco Bay Area,@BahamaBen9 @JonahLupton I think Slack needs this spontaneous drop in voice call feature with team-mates. Now we ha… https://t.co/Afr4rM2m7d
1377022655044362241,2021-03-30 22:19:19,smikatoots, everywhere ,"@gregisenberg hints at it: @southpkcommons 
- remote &amp; thriving slack community
- community for founder support 
-… https://t.co/rlXdNd8njw"
1376979989841711112,2021-03-30 19:29:47,rgibson1,,* The remote work wave: An estimated 16 million U.S. knowledge workers started working remotely due to Covid-19 as… https://t.co/SgUpzaZ1Ov
1376975042572136460,2021-03-30 19:10:07,techoregon,"Portland, Oregon","For many, it's been a year plus of #workingfromhome. Still, ""Cut yourself some slack"" and ""Over-communicate"" are go… https://t.co/NcrXxO5mjU"
1376959128032178182,2021-03-30 18:06:53,wrangle_io,"Durham, NC","With more and more teams being remote, countless hours are burned nagging colleagues for more info and status updat… https://t.co/Hq0lGVUGxj"
1376957902200610816,2021-03-30 18:02:01,Brittastrophee,Livin' Large in Denver!,"@Allief0rnia And, it truly feels more difficult to log off work. Granted, my company has many remote workers/multip… https://t.co/Nr3O01NA6e"
1376956558966394884,2021-03-30 17:56:40,GantLaborde,New Orleans,We love #virtualwork and we have all kinds of fun inside games we do at IR.  Remote work is at the core of our comp… https://t.co/UIdg0g2S6B
1376956029901152257,2021-03-30 17:54:34,hughsheehy,"Dublin City, Ireland",@adampnathan Completely true. And it's not just slack.  This was a talk last year at a Github/nearform event. Somew… https://t.co/ZFMq6uDxUi
