43	U+1F60C	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	relieved face
44	U+1F614	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	pensive face
45	U+1F62A	😪	😪	😪	😪	😪	😪	😪	😪	😪	😪	—	😪	sleepy face
46	U+1F924	🤤	🤤	🤤	🤤	🤤	🤤	🤤	🤤	—	—	—	—	drooling face
47	U+1F634	😴	😴	😴	😴	😴	😴	😴	😴	—	—	—	—	sleeping face
48	U+1F637	😷	😷	😷	😷	😷	😷	😷	😷	😷	😷	—	😷	face with medical mask
49	U+1F912	🤒	🤒	🤒	🤒	🤒	🤒	🤒	🤒	—	—	—	—	face with thermometer
50	U+1F915	🤕	🤕	🤕	🤕	🤕	🤕	🤕	🤕	—	—	—	—	face with head-bandage
51	U+1F922	🤢	🤢	🤢	🤢	🤢	🤢	🤢	🤢	—	—	—	—	nauseated face
52	U+1F92E	🤮	🤮	🤮	🤮	🤮	🤮	🤮	🤮	—	—	—	—	face vomiting
53	U+1F927	🤧	🤧	🤧	🤧	🤧	🤧	🤧	🤧	—	—	—	—	sneezing face
54	U+1F975	🥵	🥵	🥵	🥵	🥵	🥵	🥵	🥵	—	—	—	—	hot face
55	U+1F976	🥶	🥶	🥶	🥶	🥶	🥶	🥶	🥶	—	—	—	—	cold face
56	U+1F974	🥴	🥴	🥴	🥴	🥴	🥴	🥴	🥴	—	—	—	—	woozy face
57	U+1F635	😵	😵	😵	😵	😵	😵	😵	😵	😵	—	😵	😵	dizzy face
58	U+1F92F	🤯	🤯	🤯	🤯	🤯	🤯	🤯	🤯	—	—	—	—	exploding head
66	U+1F61F	😟	😟	😟	😟	😟	😟	😟	😟	😟	—	—	—	worried face
67	U+1F641	🙁	🙁	🙁	🙁	🙁	🙁	🙁	🙁	—	—	—	—	slightly frowning face
68	U+2639	☹	☹	☹	☹	☹	☹	☹	☹	—	—	—	—	frowning face
69	U+1F62E	😮	😮	😮	😮	😮	😮	😮	😮	—	—	—	—	face with open mouth
70	U+1F62F	😯	😯	😯	😯	😯	😯	😯	😯	—	—	—	—	hushed face
71	U+1F632	😲	😲	😲	😲	😲	😲	😲	😲	😲	😲	—	😲	astonished face
72	U+1F633	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	—	😳	flushed face
73	U+1F97A	🥺	🥺	🥺	🥺	🥺	🥺	🥺	🥺	—	—	—	—	pleading face
74	U+1F626	😦	😦	😦	😦	😦	😦	😦	😦	—	—	—	—	frowning face with open mouth
75	U+1F627	😧	😧	😧	😧	😧	😧	😧	😧	—	—	—	—	anguished face
76	U+1F628	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	—	😨	fearful face
77	U+1F630	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	—	😰	anxious face with sweat
78	U+1F625	😥	😥	😥	😥	😥	😥	😥	😥	😥	😥	—	—	sad but relieved face
79	U+1F622	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	crying face
80	U+1F62D	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	loudly crying face
81	U+1F631	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	face screaming in fear
82	U+1F616	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	confounded face
83	U+1F623	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	persevering face
84	U+1F61E	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	—	disappointed face
86	U+1F629	😩	😩	😩	😩	😩	😩	😩	😩	😩	—	—	😩	weary face
87	U+1F62B	😫	😫	😫	😫	😫	😫	😫	😫	😫	—	—	😫	tired face
88	U+1F971	🥱	🥱	🥱	🥱	🥱	🥱	🥱	🥱	—	—	—	—	yawning face
89	U+1F624	😤	😤	😤	😤	😤	😤	😤	😤	😤	—	—	😤	face with steam from nose
90	U+1F621	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	pouting face
91	U+1F620	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	angry face
92	U+1F92C	🤬	🤬	🤬	🤬	🤬	🤬	🤬	🤬	—	—	—	—	face with symbols on mouth
93	U+1F608	😈	😈	😈	😈	😈	😈	😈	😈	—	—	—	—	smiling face with horns
94	U+1F47F	👿	👿	👿	👿	👿	👿	👿	👿	👿	👿	—	👿	angry face with horns
95	U+1F480	💀	💀	💀	💀	💀	💀	💀	💀	💀	💀	—	💀	skull
96	U+2620	☠	☠	☠	☠	☠	☠	☠	☠	—	—	—	—	skull and crossbones
