id,date,user,location,text
1377010794639032325,2021-03-30 21:32:11,CalzoneChris,he/him,"okay okay i made it! 

join the all-inclusive, hockey twitter discord!

i’ll make it all fancy and make the roles a… https://t.co/AxQbH0f9IE"
1376928123913183234,2021-03-30 16:03:41,__Vylaness__,United States,I changed my discord password last night but forgot to update it on my phone and I wrote it down at home but I'm at… https://t.co/FzEGJbOPM5
1376914400557273088,2021-03-30 15:09:09,bbluejeans,rowen/rex | 23 | he/they ,when i get home from work i am going to set up camp in the first discord voice chat i see and pitch my new d&amp;d camp… https://t.co/YMN8BWygdY
1376857214997168130,2021-03-30 11:21:55,Wick_RR,"Pittsburgh, PA",@CAKovalik @RushdownRevolt @Frame1GG Off to work rn! I'll be sure to post a link in the discord when I'm home
1376830613550817286,2021-03-30 09:36:13,T0KlO,"Tokyo-to, Japan",Anyone down for discord and apex when I’m home from work?
1376799453378658304,2021-03-30 07:32:24,khaydith,admin is 20. dms open.,"//alright boys

I'm gonna revamp a Discord server I had made. 

(It's called Bo-Katan Supremacy, but I'll make sure… https://t.co/jO5wJMBqwY"
1376749349011648513,2021-03-30 04:13:18,VanGiesonGames,"Worcester, MA",How do you balance life? When I work on a project I have to ignore social media. But then I miss out engaging with… https://t.co/YMD38I6On4
1376720610735308802,2021-03-30 02:19:06,AtomicAnderson,Michigan,"Not going to be able to go live tonight, may get called into work to take over for a delayed flight if the person t… https://t.co/AqQzvGuDvb"
1376660250523222016,2021-03-29 22:19:15,aNiimsey,🕑 GMT+1,@faefroggies I can't imagine how hard it must be for you after you got so used to the company of another person. If… https://t.co/CQtyv8oFh0
1376622908227743745,2021-03-29 19:50:52,jakeryanmercer,"Portland, OR",@itisticking yeah Brandon goes home tomorrow and after that I’ll have free time after work text me in the next few… https://t.co/bkNIRSQgn2
1376536625518424065,2021-03-29 14:08:00,amberdots,amberdot#0001,What is the best way to start being better friends with you? Twi… — This is a tricky question. When I'm at work I n… https://t.co/fLjtTKdqaE
1376521244179369988,2021-03-29 13:06:53,elismagicatnado,"Louisiana, USA",@melonstellar I FORGOT TO ADD U ON DISCORD LEMME DO THAT REAL QUICK + I’LL DUST OFF MY OLD OC WHEN I GET HOME FROM WORK
1376517706770485250,2021-03-29 12:52:50,DrewskieVR,,Hey! After I get home from work let's watch an anime movie in my discord. Idk what movie yet lol we'll figure that out soon
1376513478744150019,2021-03-29 12:36:02,LuasaurusRex,,@Clami__ @discord at home its definitely harder to pay attention and just do work in those times. I have study time… https://t.co/5gnwMflm9P
1376472094800683010,2021-03-29 09:51:35,SovereignJunker,Fuck yea 'Straya cunt!,"//Home finally, commission work will resume tomorrow.

Also Discord is down AGAIN

Fucking hate Australia ay"
1376359120442392579,2021-03-29 02:22:40,JBR33ZY29,"Colorado, USA",Back to work  tomorrow days been rough  !discord !twitter  https://t.co/5o4tfR5XDp
1376279979428769796,2021-03-28 21:08:11,meow2008,"near San Francisco, CA",@MommaSpeaks @karenkroll @Discord_Child @nytopinion @etammykim they don't need to squawk about giving benefits.  th… https://t.co/FR4EUFf5dI
1376129956829405184,2021-03-28 11:12:03,Nar_eik,,"@hovdog @BobTheBad2 @IGN Not everybody has time to sit at home in a discord, some people work lad"
1375970554696630275,2021-03-28 00:38:39,dallas_redbeard,"Fulshear, TX",@ohheytommy @notoriousalerts I’m currently working from home while learning to trade. An extra monitor would help m… https://t.co/aOCdD8oYlN
1375968507993718788,2021-03-28 00:30:31,AlwaysTrustBob1,"Orlando, FL",Can we all agree its super annoying to login to discord on mobile it sucks I have to always get the backup codes fr… https://t.co/ZgHID6yK7J
1375900948753641474,2021-03-27 20:02:03,JustAskChelsea,Up North,"@ohheytommy @notoriousalerts I’m pretty much trading off my phone right now, using my laptop more for my work/teach… https://t.co/IvROYUjSFO"
1375871976862937090,2021-03-27 18:06:56,Lilulicious,L.A./I.E./O.C./S.D. of CA.,"Bruh, we’re working from home via streaming web services, meeting on Zoom, Discord, and Teams, and streaming our en… https://t.co/5NdQS7d33A"
1375830413847891968,2021-03-27 15:21:47,nightmarebeepbo,denial ,when your 4 hours away from home and the internet here doesn't work for your computer so you use a mobile hotspot a… https://t.co/0nzQ691bxs
1375808987434774528,2021-03-27 13:56:38,HomeWorkPodcast,,The guys will record next week's episode of Home Work tonight at 8:00 PM Eastern. Patrons can listen along live. Da… https://t.co/BOrSbm1YEC
1375808754311122947,2021-03-27 13:55:42,davidcaolo,"Cape Cod, MA",Harry and I will record next week's episode of Home Work tonight at 8:00 PM Eastern. Patrons can listen along live.… https://t.co/MwPbJxAZsy
1375665916806012930,2021-03-27 04:28:07,Honeydatura,,"Live2D Vtuber Art+Rigging Commissions are open!
More examples of work I've done for other people can be found here:… https://t.co/9gLTLk6Xpr"
1375664089947635727,2021-03-27 04:20:52,clipzy24,,i work from home by grooming kids on discord
1375618928211288066,2021-03-27 01:21:24,RobertKeenum5,"Mississippi, USA","https://t.co/0J7PZU7fGM 

Look at this!  Just one of the additions to @Roblox Bunker Hill.  The different levels ar… https://t.co/S0OZ6qG4Jk"
1375542686216818689,2021-03-26 20:18:27,TyrLoo,,"I'm probably gonna log out of Discord and Delete Telegram before I'm out of work today, I really don't feel like ta… https://t.co/JQJWrDyAq2"
1375470557316083713,2021-03-26 15:31:50,kllarapasta,JHP Entertainment,@ydwdrums aH &gt;&lt; hmm. what if you livestream your work in a discord voice chat? you can go to @mydayscord haha there… https://t.co/00EyULtf7w
1375444855049043972,2021-03-26 13:49:42,43Mage,@drpepperman43 ,Guys im off work now and going home its time to leave discord now and no one open the league lclient cuz im coming home
1375433284059037700,2021-03-26 13:03:43,FfionnKomiko,,"Good morning everyone! My plan for today is as follows:

Wake tf up! (Check)
Go to work!
Come home!
Nap!
Finish shi… https://t.co/YkEhq15mmV"
1375364414686236679,2021-03-26 08:30:04,Caramelaine,"she/they, 24","My art/streaming discord server will be going under maintenance for the next week or so! 

I finally have enough ti… https://t.co/BzbWaZP2Hx"
1375313045161975809,2021-03-26 05:05:56,PrimmRosee_,United States,[Let's work it out] Song request with Channel points. | !discord !streamloots https://t.co/IZib2ApwIG
1375243229923266564,2021-03-26 00:28:31,Nightwolfwriter,"Central Maryland, USA","@StoryDam A-3: It's tough to say. At work, we're always on mail, Skype, Teams, etc. because we're not geographicall… https://t.co/C4r9nJlJFe"
1375229062432587779,2021-03-25 23:32:13,WhaleyStatic,"Windsor, Ont.","Home from work, beer hand, pregame #CanMNT on my tv, twitter and Discord on my laptop to distract me from the game… https://t.co/h2qpokZlpk"
1375210641942794245,2021-03-25 22:19:01,campfiretechllc,,"Check out this Blaze Project home from one of our Discord Members, James! Do you have a custom theme? Send it our w… https://t.co/RDQABAVOZJ"
1375205861807681541,2021-03-25 22:00:02,syn_nya,,"okay this I'm SUPER STOKED ABOUT!!!

new super cool outfit reveal THIS FRIDAY (TOMORROW) when I get home from work… https://t.co/R9QgNXhZa8"
1375134828052500483,2021-03-25 17:17:46,Eric7String,"Cleveland, OH","[LVL 42] Garage Door broke so I'm home from work, lets goooooo  | !discord |  https://t.co/IpGm7Pg4hM"
1375134234269130755,2021-03-25 17:15:24,nycki96,"Pinellas Park, FL",@EmmaMaher85 Oh I forgot you have an android.  Well discord and skype can work too.  But why wouldn't you expect it… https://t.co/AeHWdDFV9N
1375132773871017988,2021-03-25 17:09:36,Parth79143376,"Mumbai, India","@bhavika_jangid_ It's also the ideology that follows with a platform, for example using discord for work for home i… https://t.co/ZItRGD3Egc"
1375131722484883457,2021-03-25 17:05:26,Kilroy_Shinobi,"Denver, CO",@ashhhpotato That’s what I do ngl. I’ll work 9-7 (and still maintain social media and discord) then come home. mayb… https://t.co/42coORnk9C
1375123391217287175,2021-03-25 16:32:19,jenocidal9,"MD, US","All I did yesterday was watch Keanu Reeves movies with some of my FC members over Discord. It was really nice, espe… https://t.co/YZlTkU5Nmn"
1375075018607095815,2021-03-25 13:20:06,bearhouseradio,,"#NowPlaying GMF NuuSkiii @GNuuskiii - Work

Listen and rate songs on our website. Link below… https://t.co/KO2iHqMBa9"
1375028149793271808,2021-03-25 10:13:52,DieFranti,GER | ALT: @CasualFranti,@sangiesluvie that would be lovely!! you can send me a friend request on discord (my name is in my bio) and i'll te… https://t.co/5Vnz0asNna
1374998122611412992,2021-03-25 08:14:33,levstylish,"Melbourne, Victoria","I'm not gonna stream tonight fellas. Just got home from work and I'm pre smoked.

I'll see if I can stream later to… https://t.co/FuTG6gLwIf"
1374959162291970051,2021-03-25 05:39:44,suncreams,Arizona,"me: gets off work
“oscar was finally home! they were very happy to get on discord and-“
me: sees link to mind boggl… https://t.co/FGU3r7XoIU"
1374941413964587013,2021-03-25 04:29:12,Rebellion2k17,"In a Tree, Australia","I've literally done nothing but research stream stuff, slightly edit a YouTube video and watch YouTube today.

I've… https://t.co/HWDaoTQGi9"
1374937658338770950,2021-03-25 04:14:17,chloettes_,"she/her, 16, blm","@notjenelle Amen, even with being mostly home a lot of work conflicts come up, then it turns into you and I on hour long discord calls."
1374884881486974981,2021-03-25 00:44:34,YoStarx,Best Non Claw Player.,@BluffnWtf Wanna talk ab it ina discord call while I do home work 🙂
