id,date,user,location,text
1376927202516873222,2021-03-30 16:00:01,SharePoint,"Redmond, WA","Learn about new security and compliance capabilities in #SharePoint, #OneDrive, and #MicrosoftTeams to help you sec… https://t.co/qLmuNdl6u1"
1376994282343694336,2021-03-30 20:26:34,msdev,,Empowering your team to do their best work from anywhere—that’s how you build resilience. Find solutions that can h… https://t.co/Z7GTkfpOvw
1375217178497146888,2021-03-25 22:45:00,Microsoft,"Redmond, WA","""How students feel has a big impact on their ability to learn,"" says Barbara Holzapfel, Microsoft VP of education.… https://t.co/gk065XXHJd"
1377074098585542657,2021-03-31 01:43:44,clt_networks,"North Carolina, USA","Find out how to keep your network and workloads secure with @Windows #VirtualDesktop. Wherever, whenever, the stren… https://t.co/SsS2ebe79r"
1377072155054247939,2021-03-31 01:36:01,MorphoMFG,"Guangzhou, China - Worldwide!",@Microsoft introduces Mesh to the world - a platform that combines both augmented and virtual reality for a more co… https://t.co/qvj6YfEyfD
1377066884525342722,2021-03-31 01:15:04,Relo360,New York City metro,"You ready for crazy #WFA solutions?  How about a virtual you attending a remote meeting...it's becoming possible!
M… https://t.co/VrxeYrYqWi"
1377059792041181186,2021-03-31 00:46:53,kimzocco,"Southeast Florida, USA",Indigenous knowledge and AI help protect baby turtles from predators on Australia’s remote Cape York https://t.co/uV4hVdnvav
1377051828576264201,2021-03-31 00:15:14,AlpsInfoCorp,Canada,AlpsLogic IT Solutions has experience &amp; expertise in a broad range of Microsoft technologies and languages 👍 #USA… https://t.co/2vMgsa9ScV
1377042513064779781,2021-03-30 23:38:13,Youngin_fuller,Ridin off into the sun,@Microsoft what more can I do to get the King King Themed remote #KingKONG #Godzilla #GodzillaVsKong
1377040827285786624,2021-03-30 23:31:32,RD_Nevada,"Carson City, NV","@RD_Nevada is offering a Distance Learning Telemedicine Grant webinar April 8 to help rural communities, schools an… https://t.co/7Ipw9Ktc4w"
1377039650024517635,2021-03-30 23:26:51,TheCoolTechDad,"Bloomfield, NJ",@tonyramos @Microsoft I really hope the hybrid work schedule is here to stay. My ideal work mix would be three days… https://t.co/adRMguVLt9
1377038145900843008,2021-03-30 23:20:52,christinkers,San Francisco,"The future of hybrid/remote work, what do employees really want? A few fascinating insights from a recent Microsoft… https://t.co/J5hwoHd97u"
1377037733428924417,2021-03-30 23:19:14,InfiltrateCon,"Miami Beach, FL","CANVAS 7.28 Release https://t.co/6gHHocJzkS

Includes: local privilege escalation exploits targeting Windows, LPE t… https://t.co/IvBXD6qov5"
1377036208539381762,2021-03-30 23:13:10,JSirangelo,"Washington, DC",“Companies that understand and invest in their people’s happiness are the ones that will thrive.” This statement sp… https://t.co/ywlZI1gIni
1377035609810862082,2021-03-30 23:10:48,samudravijay,"Raleigh, NC","Leverage your @Microsoft assets for #remotework solutions—from security to collaboration, you may already have what… https://t.co/3Dufd7Y9M3"
1375202097713537028,2021-03-25 21:45:04,fbolanosf,Mexico,Microsoft thinks mixed reality is the future of remote collaboration https://t.co/m3Hhhv6wBY
1375201406911709193,2021-03-25 21:42:20,elleprovocateur,Canada,"""...we prepared for a #hybrid model which we are in right now &amp; we also prepared for a fully #remote model""

👉""so l… https://t.co/1w9un51DpZ"
1375198372987035651,2021-03-25 21:30:16,Michael_McQueen,"Sydney, Australia",This new research from Microsoft is a MUST READ... it delves into how employees are really faring in a remote work… https://t.co/95aOApl3a5
1375198312857444353,2021-03-25 21:30:02,SylviaBautovic,"Sydney, New South Wales",Challenges once faced by the Minnesota Department of Transportation are now water under the bridge thanks to Azure… https://t.co/4RtiEjJ7V0
