id,date,user,location,text
1374400637618692106,2021-03-23 16:40:21,Reuters,Around the world,Zoom to zen - Citi unveils Zoom-free Fridays to beat remote working stress https://t.co/ypbuZyrCIa https://t.co/hDeQdtUJxe
1376165001631653890,2021-03-28 13:31:18,CaptPaulWatson,On Planet Ocean,I'm available for zoom/remote interviews for the right podcast or journalist. Please DM @OmarSeaShepherd  with any… https://t.co/W3YbiqDbW0
1374310560414773254,2021-03-23 10:42:25,ReemAbulleil,"Dubai, UAE",I wrote about what it was like being back at a tennis tournament and what a year of remote coverage has felt like... https://t.co/v1o6gX4EBZ
1377070371908780032,2021-03-31 01:28:56,gadgetlab,"San Francisco, CA","Spot is a new platform dedicated entirely to walking meetings, launched by a longtime remote work evangelist. https://t.co/eDKEmf2B2a"
1377062342475853824,2021-03-31 00:57:01,Russc2606,,"@micahuetricht My job is technically ‘remote’ as I’m a insurance claims investigator, and already work from home bu… https://t.co/HjLzf9M3xa"
1377056122146713601,2021-03-31 00:32:18,WesleyEames,The Fusty Markets,"@awilkinson @businessbarista You’re not only describing remote work, but flexibility and freedom of your time. Too… https://t.co/4sSFI5KJnF"
1377051392054063110,2021-03-31 00:13:30,MikeA1957,"Bethesda, Maryland",As if the pandemic wasn't enough that forced us all into a world of remote living and remote working. Over the past… https://t.co/VvyYUFWbRp
1377050974330748932,2021-03-31 00:11:51,SusanPotter,"Illinois, USA","@ATT argued that FCC's 6yo broadband definition of 25Mbps downstream and 3Mbps upstream ""is sufficient to support Z… https://t.co/XXzi1e4gWt"
1377048115136634888,2021-03-31 00:00:29,sefabykkk,,"Baby Monitor with Remote Pan-Tilt-Zoom Camera and 3.2'' LCD Screen, Infrared Night Vision (Black) https://t.co/BvsoDVmbsU 
Nestor"
1377046142710472706,2021-03-30 23:52:39,mrskarenmckenna,"Rohnert Park, CA","@erindowning For over a year now!  I have to admit, I am a little jealous of our teachers teaching the hybrid kids… https://t.co/F0ocPn0l5W"
1377041816072167426,2021-03-30 23:35:27,tico_tonito,"Glendale, Los Angeles ",Get ready for a new world where schools begin to prioritize more and more zoom classes so they can pay the new Uber… https://t.co/XVdg5qKRbD
1377041515122425857,2021-03-30 23:34:16,Life365Inc,"Scottsdale, AZ",Join us TOMORROW 4pm ET for our webinar discussing Remote Physiologic Monitoring reimbursement. We'll review the co… https://t.co/y4R4IkOitM
1377040938325917697,2021-03-30 23:31:58,Sullybunch,"Austin, TX","@flstfdude @OANN Hybrid learning is both in person and zoom at the same time. Those that choose,  can come to class… https://t.co/mRyyXVRYNP"
1377039966862258180,2021-03-30 23:28:06,KPCC,"Los Angeles, California","The Oscars told nominees that they had to show up in person rather than showing up via Zoom.

Now they're tweaking… https://t.co/tiVzhYYvrL"
