id,date,user,location,text
1376534621438013447,2021-03-29 14:00:03,Microsoft365,"Redmond, WA",What's your favorite part about working from home?🏠 Tell us below!👇 #Microsoft365 #WFH https://t.co/W4KoMVz3Rz
1376685733734416385,2021-03-30 00:00:31,MarkCCrowley,"La Jolla, CA","""So get ready folks: someday, some way, you’re coming back to the office.""
Not for 2021 or 2022, but firms like Goo… https://t.co/fpI7Rh5JQ3"
1376508159230107649,2021-03-29 12:14:54,caseyjohnellis,0.0.0.0/24,"I've gotten a bunch of questions about this stuff from non ""content-creator"" types, so here it is: My ""office"" setu… https://t.co/Ejwec0GNbU"
1376715902117351425,2021-03-30 02:00:23,BrioHR,Oval Damansara (Malaysia),"HR is arguably the most important department in any organization

Find out more about our All-In-One HR Solution:… https://t.co/MrUKhyvGhm"
1376715841073516547,2021-03-30 02:00:09,bhambizjrnl,"Birmingham, AL","#WFH Chronicles: Now, I'm no expert  https://t.co/77ZVsm4v7R"
1376712082561851392,2021-03-30 01:45:13,jmk344,Switzerland,Back-end Engineer https://t.co/nJMY6ZhziM #remote #hiring #workfromhome #jobs #wfh
1376710170231857155,2021-03-30 01:37:37,kikituiter,On Earth,"Quality time ❤️
#wfh https://t.co/ad5984JSRR"
1376708558595661824,2021-03-30 01:31:13,zaheedonism,"Saskatoon, Saskatchewan","“The problem with remote working, no one knows when to stop working anymore” #WFH #RemoteWork  https://t.co/bFZ9u8PeqC"
1376708385580670983,2021-03-30 01:30:31,jmk344,Switzerland,Quality Engineer https://t.co/h3PWZM9J1A #remote #hiring #jobs #wfh #workfromhome
1376707001028378625,2021-03-30 01:25:01,RBaranger,Bougival,"[#RemoteWork] Employees say work-life boundaries blurred, then vanished, as waking life came to mean “always on” at… https://t.co/BQm5EvDMnl"
1376706782727299074,2021-03-30 01:24:09,dragonballfan,KayAl,Countdown to the end of a fairytale... #dramaqueen #wfh #lifeasweknowit #oldnorm
1376706241691521031,2021-03-30 01:22:00,Allwork_space,Global,Is your #companyculture strong enough for a #hybridwork model? Is your #leadership team trained to manage different… https://t.co/n3lk6mdKoI
1376706169117450240,2021-03-30 01:21:43,elektropopsicle,There to here & here to there,"Anyone else take pictures of how they look before/after a meeting? 

#sayangmakeup #wfh https://t.co/UKVmenyTmX"
1376702481321893891,2021-03-30 01:07:04,techjasond,Chicago,"Events of 2020 tested business resilience, digital readiness and virtual collaboration — all cornerstone components… https://t.co/BoUZL0VuiM"
1376702266086920194,2021-03-30 01:06:12,DaveEdwardsLLC,"Franklin, WI","Since the onset of the #Coronavirus, your staff has been working from home. What happens after everyone has been va… https://t.co/KLb5fk6sqb"
1376507876223504388,2021-03-29 12:13:46,beeraaaaa_,India,Do you guys use an ergonomic keyboard? I searched for one on Amazon and it is for 15k. Nope. Way out of my budget. #WFH #Ergonomics
1376507874407501833,2021-03-29 12:13:46,CjColclough,"Svendborg, Danmark","🤔 am getting very concerned over the abundance of #WFH hallelujah articles. Whilst indeed many potential positives,… https://t.co/oFVZ9O5udn"
1376507706375340033,2021-03-29 12:13:06,CUBSucc,"UCC, Cork, Ireland","Last chance to register for tomorrow's event ""Leadership while #WFH"" featuring a panel of industry-leading @UCCMBA… https://t.co/VlVmeSPgDE"
1376507696619393025,2021-03-29 12:13:03,laurafays,Newcastle upon Tyne,"C#.NET Web Developer
Newcastle (mainly remote -1 or 2 days a month in the office)
Up to £50k… https://t.co/NxrmuYMiLG"
1376506819099566080,2021-03-29 12:09:34,Harps_V,"Birmingham, UK ☺",Its days like this 🌞☀️ that make working from home awesome. Just did a few rounds on the kids trampoline to get som… https://t.co/yRjgVqAmQ8
1376506208790704131,2021-03-29 12:07:09,ZeeSWEB,,"Working from home tips 
#workingfromhome #workfromhome #covid #wfh #stayhome #homeoffice #lockdown… https://t.co/w8fNz6Iz75"
1376506159859818499,2021-03-29 12:06:57,TMReserve,Malaysia,"Zoom, other WFH tech darlings, risk user exodus as the world reopens 

#tech #WFH #cloud #Zoom #apps

https://t.co/F6r9h3AYoR"
1376506119049203712,2021-03-29 12:06:47,rinachandran,"Bangkok, Thailand",#WFH : What had seemed like a short-term inconvenience is now clearly becoming a permanent and tectonic shift in ho… https://t.co/AaVpGdSW6Q
1376505969895735299,2021-03-29 12:06:12,wendyNAIFarbman,"Southfield, Michigan ","Survey On Work #CRE The separation between work and home has become blurred, 38.5% of respondents say they work lon… https://t.co/VNbE3N4xAb"
1376505935624081411,2021-03-29 12:06:03,AchoWendyR,United States,"Survey On Work #CRE The separation between work and home has become blurred, 38.5% of respondents say they work lon… https://t.co/MLrLPHKD0A"
1376505473462046727,2021-03-29 12:04:13,CatFoodBreath,the couch,"Hanging out in Chewy Condos this morning.  After my office team video chat, I’ll go over to Strawberry Castle.… https://t.co/0eMfHqTbkb"
1376505411268980747,2021-03-29 12:03:58,PrivacyProf,"Des Moines, IA",I'm looking forward to participating in this @FutureConEvents panel this Wednesday. Use code PANEL when registering… https://t.co/JHOrUvoWqx
1376504890374164485,2021-03-29 12:01:54,adremsystems,"Reston, VA","Immediately upon being asked to return to the office, employees will be looking to leadership to provide a solid pl… https://t.co/CE8CDmqnoK"
1376504743649013762,2021-03-29 12:01:19,UofTGradRoom,"66 Harbord St, Toronto","Grad Room #mindfulness #meditation continues online! Join Liam Mondays, 12–1PM, to practice mindfulness techniques… https://t.co/0MsgHgPCig"
1376504687222996994,2021-03-29 12:01:06,ForgeRecruiter,Canada,"Hey Forge Followers,

Check out this article on how to change your mind so you don't get stuck! #Toronto… https://t.co/ccPID6WzmJ"
1376504528917385224,2021-03-29 12:00:28,MoveiQProperty,United Kingdom,"↘️ South east
↙️ South west
⬆️ North

Where are best places for a hybrid commute, working between home and a London… https://t.co/2rTjuiXwGR"
1376504509841686529,2021-03-29 12:00:24,M_Storebiz,"Victoria nr. Roche, Cornwall",Do you work from home? Make that home office amazing with our top tips! #cornwall #winter #devon #selfstorage… https://t.co/NE3JIeVrme
1376504410919071744,2021-03-29 12:00:00,CSuitePro,"Kansas City, USA",Working Time Overload for Remote Teams - Coruzant Technologies https://t.co/I4tEyIVuaD #RemoteTeams #RemoteWork… https://t.co/mMNwwPUfhu
1376504283378634756,2021-03-29 11:59:30,USTATIONwork,"New Brunswick, Canada","STUDY: ""it was clear to us that the positives of small talk outweighed the negatives and that those negatives could… https://t.co/ovQPmKNFI1"
1376503723170525190,2021-03-29 11:57:16,RameshKolluru1,"Vishakhapatnam, India",@keshav_murugesh Haha.. we've multiple Suez canal problems daily due to heavily congested Tier1 cities which is res… https://t.co/CF8Yj7Yasa
1376503614823354369,2021-03-29 11:56:50,BDA_Chosen_1,Bermuda,Back at it...#WFH life https://t.co/C2J6JJdVOc
1376503154741813257,2021-03-29 11:55:00,Coruzant,Kansas City,Working Time Overload for Remote Teams - Coruzant Technologies https://t.co/F3UtFWOcUh #RemoteTeams #RemoteWork… https://t.co/kYWO1oPzq0
1376502660585685001,2021-03-29 11:53:03,vineyardestates,"Vancouver, BC, Canada",5 work-from-home interior design trends on the rise https://t.co/ALaPcgD9RE #WFH #WFHTrends #sothebysrealty… https://t.co/KZea08ddui
1376502474291490817,2021-03-29 11:52:18,trek_wae,Ngayogyakarto Hadiningrat,"The real WFH, meet my new assistant, he was handle my meeting very nicely 😍

#wfh
#dirumahaja 
#workfromhome… https://t.co/Shl0W2U2Qn"
1376502066160472065,2021-03-29 11:50:41,FerroqueSystems,"Mississauga, Ontario",Understanding the various stressors that influence an end-user is important when designing digital transformation.… https://t.co/IvTpV2mBF5
1376501906185523201,2021-03-29 11:50:03,sucarlin,"Baltimore, MD or Rochester, NY",Brilliant morning in Baltimore! #balconylife #WFH https://t.co/oke2POYHsw
1376501408799817730,2021-03-29 11:48:04,etfAction,"Denver, CO","📰Today's curated news links w/ select charts for related #ETFs and/or #StocksToWatch 🗞️

🔗https://t.co/hBgnEMjgR1🧐… https://t.co/YuWcrpWsZs"
1376500905781116935,2021-03-29 11:46:04,NeTechjobs,North East,"C#.NET Web Developer
Newcastle (mainly remote -1 or 2 days a month in the office)
Up to £50k… https://t.co/pvHDw9wi9U"
1376500874806243329,2021-03-29 11:45:57,viewhr,Ringwood,Here we provide top tips for employers to support employees with their #physicalwellbeing whilst working from home.… https://t.co/TdFUGFe5L1
1376500727208685570,2021-03-29 11:45:22,Yasemin4891,"London, England","Does anyone else keep their headphones on the whole time they're at their computer, even when there's nothing playi… https://t.co/1bWhs81I46"
1376500661072896000,2021-03-29 11:45:06,KCComms,"Huddersfield, England",Isn’t it great when you have two clients who fit together perfectly to create a dream piece of content 😍 Looking to… https://t.co/qmauiBAFyP
1376499430627684357,2021-03-29 11:40:13,sainsbury_vicky,,"@EmNodge look what arrived this morning, so excited to get stuck into it. Thank you for the recommendation 🤩👍🙌🏻… https://t.co/hSU2TefnJV"
1376498828971401228,2021-03-29 11:37:49,Desiree51787690,"Santa Fe, NM","@yashar @matthewhaag The worst commute is going into NYC from NJ. Penn Station is a dump, horrible dirty place that… https://t.co/zXOYEGGj2B"
1376498536297201669,2021-03-29 11:36:39,dannihewson,Leeds,I think the cat has decided today is not for working. #wfh #CatsOfTwitter https://t.co/Q7D3Qinrto
1376498210869542919,2021-03-29 11:35:22,GB_Labs,"Aldermaston, England","We have reviewed what we’ve learned over the years, and taken those lessons, added in examples of #technology and a… https://t.co/p4avauAVkg"
1376498125326725127,2021-03-29 11:35:01,DivergentCIO,Kansas City,Working Time Overload for Remote Teams - Coruzant Technologies https://t.co/ezqs3nCi9y #RemoteTeams #RemoteWork… https://t.co/FqispOyosg
1376497934460719105,2021-03-29 11:34:16,OrbitalChat,,"Some teams like to leave their galaxy open in a tab during their whole work day.

Read the full article: Onboarding… https://t.co/2rLQmdux4E"
1376497343114141697,2021-03-29 11:31:55,PersonalFavori1,"Glens Falls, NY",#NowPlaying .. The #MondayMorning #sunshine is a good reason to crank up the Curated Pop/Rock Mix of… https://t.co/qoiEjfey03
1376496968642535424,2021-03-29 11:30:26,PM_Results,Surrey UK,Read our review of KBee.   A remote workforce needs a knowledge base.  KBee gets you there fast.… https://t.co/uPs74I27fF
1376496862522400771,2021-03-29 11:30:00,techspertio,"Cambridge, England","We’ve reached our 1-year anniversary of working from home, a perfect opportunity for us to reflect on the past 12 m… https://t.co/TGEQL7l78O"
1376496796248240130,2021-03-29 11:29:44,LenaJewellery,"Hatton Garden, London","In our “new normal” of #virtual connection the benefits of wearing #jewellery brings a huge plus to our look!
Inter… https://t.co/3eYTttxNHr"
1376496105534287875,2021-03-29 11:27:00,TwitterSG,Singapore,"Ladies: any recommendations to burn calories after #WFH all day? 

Share with us with only 1 GIF. 

#IWD2021"
1376495855700688904,2021-03-29 11:26:00,zscaler,"San Jose, CA","On March 31, join @Gigamon and us to learn how security teams are eliminating #WFH visibility gaps with the Gigamon… https://t.co/wo52BMW0vZ"
1376494595505319940,2021-03-29 11:21:00,bramleys1,West Yorkshire,"🏡 Are you looking to convert one of your rooms into a home office?

@SGP_Ltd over in #Milnsbridge, have shared thei… https://t.co/wLE8YIObI5"
1376494490328965127,2021-03-29 11:20:35,MyersClark1,"Watford, UK","Covid 19 certificates for office workers
#hertsinbusiness #watfordbusiness #wfh #payroll https://t.co/GwLpQg3Kkp"
1376493715535978498,2021-03-29 11:17:30,LynetteUipath,"Potomac, MD","#WFH – one year later: @UiPath sales leaders share their unique insights on staying connected, remaining rooted in… https://t.co/7nofXOYxAH"
1376493604873601025,2021-03-29 11:17:04,DarcieButler15,,Have you reached your 250 steps this hour? Any form of movement every hour helps reduce the risk of back pain when… https://t.co/VsexY9RRYo
1376493261842493440,2021-03-29 11:15:42,new_verve,"Glasgow, Scotland",.@Confluence rolls out more awesome new features! Check out how your team can optimize #collaboration and communica… https://t.co/L2OaV1lyUc
1376493128979451913,2021-03-29 11:15:10,Citadel_Digital,"Manchester, Preston, Cambridge","We are here to help your business to #JustWork. 

If your #servers need upgrading or you are looking to move to the… https://t.co/zJhLq1bZBL"
1376491980117671937,2021-03-29 11:10:36,CityAM,"London, England","UK drawing up plans for Covid-19 certificates for office workers

A review led by Cabinet Office minister Michael G… https://t.co/XP7ryx3CLB"
1376491903240314880,2021-03-29 11:10:18,cityamclub,"London, England","UK drawing up plans for Covid-19 certificates for office workers

A review led by Cabinet Office minister Michael G… https://t.co/m1FrKC5iOM"
1376491834013274112,2021-03-29 11:10:01,CityAM,"London, England","UK drawing up plans for Covid-19 certificates for office workers

A review led by Cabinet Office minister Michael G… https://t.co/J3unVMPgoz"
1376491190506381314,2021-03-29 11:07:28,Spikey_TheCat,,"Just helping the man human to work from home today 😸
#mondaymotivation #wfh #catsoftwitter #AdoptDontShop https://t.co/lL7RT1ecQc"
1376490876285808643,2021-03-29 11:06:13,martybebrown,"Melbourne, Victoria","The latest edition of my newsletter Transmissions is out now. The multifaceted effects of #WFH, @David_Rudnick   on… https://t.co/WmjFzysSVA"
1376490385095196672,2021-03-29 11:04:16,MarcoDaCostaFX,StocksLand 💶💵💷,"#Zoom, Other #WFH #Tech Darlings, Risk User Exodus as the World Reopens. $ZM $SNAP $PINS $MSFT $GOOGL  https://t.co/fADD9kw9zq"
1376490025668517890,2021-03-29 11:02:50,JacquiAnnC,Manchester (Northener),"Desk herb update: all sprouted except corriander and parsely! 
#WFH #urbangardening #herbs https://t.co/btgHvt44MM"
1376489825449209857,2021-03-29 11:02:02,activecollab,,Don’t blame yourself for losing the strict border between your professional and personal worlds. We were not exactl… https://t.co/s63ffExpAX
1376489714585374720,2021-03-29 11:01:36,LucySkinnyjeans,United States,Helping mom in the office &amp; baking a nice loaf on #kittyloafmonday Multitasking just like Mom😹 Enjoy the day🌸 May i… https://t.co/9p5mv6hkXV
1376489651129704454,2021-03-29 11:01:21,TheWorkspaceSA,South Africa,Never miss an important business call – without being tied to a desk – and benefit from a sought-after business add… https://t.co/Bc5MrkLI9m
1376489543457771520,2021-03-29 11:00:55,Hibob_hr,"New York, London, and Tel Aviv",#Onboarding is a critical process on an HR manager’s endless to-do list. Read on to learn how Task Lists can help y… https://t.co/5zhqNxGkpW
1376489516811366400,2021-03-29 11:00:49,TDKTechnologies,"St. Louis, Missouri",The Ladders: This country is already returning to the office: What that means for us #technology #wfh… https://t.co/S5x7MTkU4i
1376489393360416770,2021-03-29 11:00:19,OutSystemsEng,Lis,There's no reason why you shouldn't keep your office rituals at home. Take it from #SoftwareEngineers Rita Tinoco a… https://t.co/8OQTDXPNkc
1376489352621142016,2021-03-29 11:00:10,housefixer,"Chapel Hill, NC",'Zoomtowns'  How Remote Work Is Reshaping America’s Urban Geography https://t.co/bhlYLaeLJN #WFH
1376489322480857088,2021-03-29 11:00:03,Maddyness_UK,London,"Every week, Maddyness curates articles from other outlets on a topic that is driving the headlines. This week, we l… https://t.co/CmXsrIC7nz"
1376489059686682624,2021-03-29 10:59:00,somelikesocial,United Kingdom,"There is always room for another pair of black leggings...and with NASA technology! 🤯

A statement that our pre-202… https://t.co/RuHytoJHJW"
1376488008791248896,2021-03-29 10:54:49,cityamclub,"London, England","City may never be the same as five-day-a-week commute ends, says former Bank of England deputy 

The end of the fiv… https://t.co/TJZYEnixnV"
1376487922023723011,2021-03-29 10:54:29,CityAM,"London, England","City may never be the same as five-day-a-week commute ends, says former Bank of England deputy 

The end of the fiv… https://t.co/WrtmSALHg8"
1376487045611261952,2021-03-29 10:51:00,payontime,England,"Work from home productivity boost, warning over a halt to lending, economic data confounding forecasters, paye taxe… https://t.co/pM05YmEWqp"
1376486351168794627,2021-03-29 10:48:14,AkixiLtd,United Kingdom,"Staff motivation may not seem like the most important metric for team's to measure – but with office doors closed,… https://t.co/uCiXwMchmq"
1376485591349669891,2021-03-29 10:45:13,NETGEAR_UKI,United Kingdom,"No more unreliable wired home internet. With Orbi 4G LTE router, you can be sure to stream, game, work, and more wi… https://t.co/4OHYQwv3sQ"
1376484442324226050,2021-03-29 10:40:39,myworkL,#workplacehappiness,"🏅Today’s featured article offers helpful tips on how to switch off from work at the end of the day.

✨ Sign up for… https://t.co/hp43PnauCm"
1376483997124075525,2021-03-29 10:38:53,PackedPixels,UK,Latest @Indiegogo update includes packaging progress &amp; amending initial backer orders if needed. Full details:… https://t.co/8sh2UTwpq7
1376482348582248451,2021-03-29 10:32:20,AcronymsLtd,"Plymouth, Bristol & Cornwall",⏰ Throw back to when Acronyms Director Tom Moore spoke to Devon &amp; Plymouth Chamber about the changing nature of mee… https://t.co/IBU4QZ1lXD
1376482014824693761,2021-03-29 10:31:00,CityPantry,UK wide,Pancakes aren't just for Shrove Tuesday - and this delicious Easter DIY kit from @Crepeaffaire proves it! Email foo… https://t.co/NIa1sMr3ml
1376481950001692672,2021-03-29 10:30:45,CPAplc,"London, England","Work from home productivity boost, warning over a halt to lending, economic data confounding forecasters, paye taxe… https://t.co/zXyghASUEx"
